researcher_id,organization_name,org_order
RS022,Maejo University,8
RS022,Nanjing University of Information Science & Technology,9
RS022,King Mongkut's University of Technology Thonburi,10
RS022,Thailand Ministry of Education,11
RS022,Ministry of Agriculture and Cooperatives,12
RS022,International Fertilizer Development Cente,13
RS022,Kyoto University,14
RS022,Geo-Informatics and Space Technology Development Agency,15
RS022,University of Florida,16
RS011,University for Peace,1
RS011,Ateneo de Manila University,2
RS011,London School of Hygiene and Tropical Medicine,3
RS011,University of Oxford,4
RS011,Mahidol University,5
RS011,Thailand Ministry of Public Health,6
RS011,University College London,7
RS011,University of Reading,8
RS011,National Institutes of Health,9
RS011,University of Warwick,10
RS011,Radboud University Nijmegen,11
RS011,Hacettepe University,12
RS011,Universidade Presbiteriana Mackenzie,13
RS011,Monash University,14
RS011,Mississippi State University,15
RS011,University of Vienna,16
RS011,University of Connecticut,17
RS011,University of Bahri,18
RS011,VA Medical Center,19
RS011,University of Minho,20
RS011,South China Agricultural University,21
RS011,King Saud bin Abdulaziz University for Health Sciences,22
RS011,Shiraz University of Medical Sciences,23
RS011,Aristotle University of Thessaloniki,24
RS011,Leibniz Institute of Plant Genetics and Crop Plant Research,25
RS011,Brigham and Women’s Hospital,26
RS011,University of Puerto Rico,27
RS011,Sardar Patel University,28
RS011,University of Lisbon,29
RS011,Indiana University Bloomington,30
RS011,McMaster University,31
RS011,Agilent Technologies,32
RS011,Beijing Institute of Technology,33
RS011,L'Oréal,34
RS011,The George Institute for Global Health,35
RS011,Western University,36
RS011,Lomonosov Moscow State University,37
RS011,Université de Limoges,38
RS011,University of Colorado Anschutz Medical Campus,39
RS011,CAS - Chengdu Institute of Biology,40
RS011,Polytechnic Institute of Coimbra,41
RS011,Russian Academy of Sciences,42
RS011,Saveh University of Medical Sciences,43
RS011,German Diabetes Center Düsseldorf,44
RS011,International Iberian Nanotechnology Laboratory,45
RS011,Universidad de Antioquia,46
RS011,University of Science and Technology Beijing,47
RS011,European Molecular Biology Laboratory,48
RS011,National Institute of Cholera and Enteric Diseases India,49
RS011,Providence Health Care Canada,50
RS011,University of Texas MD Anderson Cancer Center,51
RS011,Ludwig Maximilian University of Munich,52
RS011,University of Dundee,53
RS011,University of South Florida,54
RS011,Ghent University,55
RS011,Muséum national d'histoire naturelle,56
RS011,Novartis,57
RS011,Nanjing University,58
RS011,United States Department of Agriculture,59
RS011,University of Messina,60
RS011,Institut français de recherche pour l'exploitation de la mer,61
RS011,Sidra Medical and Research Center,62
RS011,National Tsing Hua University,63
RS011,The University of Auckland,64
RS011,University of Antwerp,65
RS011,University of Münster,66
RS011,University of Perugia,67
RS011,Fraunhofer Institute for Digital Medicine,68
RS011,Anglia Ruskin University,69
RS011,The Catholic University of Korea,70
RS011,Medical University of Graz,71
RS011,Fondazione Bruno Kessler,72
RS011,Agriculture and Agri-Food Canada,73
RS011,Karl Landsteiner University of Health Sciences,74
RS011,University of Missouri,75
RS011,University of Alberta,76
RS011,Juntendo University,77
RS011,University of Salford,78
RS011,Ithaca College,79
RS011,Max Planck Institute for Metabolism Research,80
RS011,Duy Tan University,81
RS011,Fujita Health University,82
RS011,Stony Brook University,83
RS011,The University of the West Indies,84
RS011,University of Colorado Colorado Springs,85
RS011,University of Ioannina,86
RS011,Nanfang Hospital,87
RS011,Universiti Putra Malaysia,88
RS011,Cancer Research UK,89
RS011,Royal Veterinary College University of London,90
RS011,Leiden University,91
RS011,SUNY Upstate Medical University,92
RS011,Université Paul Sabatier Toulouse III,93
RS011,Liverpool John Moores University,94
RS011,Goethe University Frankfurt,95
RS011,Hebrew University of Jerusalem,96
RS011,University of Cologne,97
RS011,National and Kapodistrian University of Athens,98
RS011,Robert Koch-Institut,99
RS011,Pompeu Fabra University,100
RS011,Institute of Human Genetics of the Polish Academy of Sciences,101
RS011,James Cook University Queensland,102
RS011,University of Bern,103
RS011,University of Liege,104
RS011,Beatson Institute for Cancer Research,105
RS011,University of Southern California,106
RS011,University of Wisconsin-Madison,107
RS011,Universidad Europea,108
RS011,Cedars-Sinai Medical Center,109
RS011,Wellcome Trust Research Laboratories Nairobi,110
RS011,Mae Fah Luang University,111
RS011,University of Bristol,112
RS011,Université d'Antananarivo,113
RS011,CY Cergy Paris Université,114
RS011,Royal University of Agriculture Cambodia,115
RS011,Coventry University,116
RS011,World Health Organization,117
RS011,Durham University,118
RS011,Johns Hopkins University,119
RS011,Burnet Institute,120
RS011,Université de Montpellier,121
RS011,Université Paris 1 Panthéon-Sorbonne,122
RS011,Center Scientific De Monaco,123
RS011,National University of Laos,124
RS011,National University of Singapore,125
RS021,Chiang Mai Rajabhat University,1
RS021,Chiang Mai University,2
RS021,Suan Sunandha Rajabhat University,3
RS021,University of Kelaniya,4
RS021,City University of Hong Kong,5
RS021,Silpakorn University,6
RS021,Nakhon Pathom Rajabhat University,7
RS001,Chiang Mai University,1
RS001,University of Texas at Austin,2
RS001,-,3
RS001,Australian National University,4
RS001,Nanyang Technological University,5
RS001,Tallinn University,6
RS042,University of Surrey,1
RS042,Chiang Mai University,2
RS042,Yunnan Normal University,3
RS042,Khulna University,4
RS042,Kunming University of Science and Technology,5
RS042,University of Science and Technology of China,6
RS042,Nagaland University,7
RS019,Chiang Mai Rajabhat University,1
RS019,Chiang Mai University,2
RS019,Walailak University,3
RS019,Asian Institute of Technology,4
RS024,Chiang Mai University,1
RS024,University of Salzburg,2
RS024,Warsaw University of Life Sciences,3
RS024,University of Liverpool,4
RS024,Naresuan University,5
RS006,Chiang Mai University,1
RS009,University of Warwick,1
RS009,Université d'Antananarivo,2
RS009,CY Cergy Paris Université,3
RS009,Chiang Mai University,4
RS009,Universiti Brunei Darussalam,5
RS029,Naresuan University,1
RS029,Uttaradit Rajabhat University,2
RS029,Chiang Mai University,3
RS003,Institut de recherche pour le développement,1
RS003,Chiang Mai University,2
RS017,Cranfield University,1
RS017,Chiang Mai University,2
RS017,Chulalongkorn University,3
RS017,Can Tho University,4
RS017,Ubon Rachathani University,5
RS017,University of Tasmania,6
RS017,Maynooth University,7
RS017,Met Office,8
RS017,Centre for Ecology and Hydrology,9
RS017,Royal Horticultural Society,10
RS017,National Taiwan University,11
RS037,Chiang Mai University,1
RS026,Asian Institute of Technology,1
RS026,King Mongkut's Institute of Technology Ladkrabang,2
RS040,World Agroforestry Centre,1
RS040,Chiang Mai University,2
RS040,Center for International Forestry Research,3
RS040,University of California at Berkeley,4
RS040,University of Queensland,5
RS040,University of Missouri,6
RS008,Chiang Mai University,1
RS008,Western University,2
RS008,University of California at Berkeley,3
RS008,Erasmus University Rotterdam,4
RS008,Autonomous University of Barcelona,5
RS008,University of Hawai'i at Mānoa,6
RS008,University of York,7
RS008,The London School of Economics and Political Science,8
RS008,University of Leeds,9
RS008,University of Dhaka,10
RS008,Royal University of Phnom Penh,11
RS008,University of Birmingham,12
RS008,University of Hull,13
RS008,"United Nations Educational, Scientific and Cultural Organization",14
RS008,Royal Netherlands Academy of Arts and Sciences,15
RS027,Khon Kaen University,1
RS027,Edith Cowan University,2
RS046,University of Cologne,1
RS018,University of Padua,1
RS018,Jahangirnagar University,2
RS018,Anglia Ruskin University,3
RS018,Chiang Mai University,4
RS018,University of Plymouth,5
RS018,"International Institute for Applied Systems Analysis, Laxenburg",6
RS031,Arizona State University,1
RS031,King Mongkut's Institute of Technology Ladkrabang,2
RS031,University of Sheffield,3
RS031,Institute of Business Administration Karachi,4
RS031,King's College London,5
RS031,Tata Group India,6
RS031,Stockholm Environment Institute,7
RS031,Tribhuvan University,8
RS013,Flinders University,1
RS013,Chiang Mai University,2
RS013,University of Tasmania,3
RS013,"National Institutes for the Humanities, Research Institute for Humanity and Nature",4
RS013,Australian National University,5
RS013,Kyoto University,6
RS013,University of Oxford,7
RS013,Ca' Foscari University of Venice,8
RS013,Utrecht University,9
RS013,Nagoya University,10
RS013,Griffith University Queensland,11
RS014,Chiang Mai University,1
RS004,University of Warwick,1
RS004,Université d'Antananarivo,2
RS004,CY Cergy Paris Université,3
RS004,Chiang Mai University,4
RS025,Chiang Mai University,1
RS023,Chiang Mai University,1
RS023,Cornell University,2
RS007,Chiang Mai University,1
RS012,University of Victoria BC,1
RS012,Chiang Mai University,2
RS012,Telkom University,3
RS028,Navamindradhiraj University,1
RS028,Dhurakij Pundit University,2
RS028,University of Colorado Denver,3
RS041,Chiang Mai University,1
RS041,Mahasarakham University,2
RS049,Chiang Mai University,1
RS044,University of North Carolina at Chapel Hill,1
RS044,Chulalongkorn University,2
RS036,Chiang Mai University,1
RS033,Chiang Mai University,1
RS016,Chiang Mai University,1
